Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 67.07      1.12     1.12 10083169     0.00     0.00  signcoordBary(p3Df, p3Df, p3Df, p3Df, p3Df, int, signcoordB*)
 12.57      1.33     0.21  5916048     0.00     0.00  tetraSeg(p3Df, p3Df, p3Df, p3Df, p3Df)
  9.58      1.49     0.16   841760     0.00     0.00  clasifyTriang(tetracone*, int, mesh*, p3Df)
  5.69      1.58     0.10  1974951     0.00     0.00  tetraPoint(p3Df, p3Df, p3Df, p3Df, p3Df)
  3.59      1.65     0.06 20489125     0.00     0.00  std::vector<p3Df, std::allocator<p3Df> >::operator[](unsigned int)
  0.60      1.66     0.01  2192170     0.00     0.00  tetraPoint(p3Df, p3Df, p3Df, p3Df, p3Df, int)
  0.60      1.67     0.01   864140     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.30      1.67     0.01                             testTetraPointLimit(p3Df, p3Df, p3Df, p3Df, p3Df)
  0.00      1.67     0.00  3407040     0.00     0.00  std::vector<triangle, std::allocator<triangle> >::operator[](unsigned int)
  0.00      1.67     0.00   841760     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned int)
  0.00      1.67     0.00   284553     0.00     0.00  operator new(unsigned int, void*)
  0.00      1.67     0.00   224551     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.00      1.67     0.00   224551     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      1.67     0.00    80073     0.00     0.00  std::vector<triangle, std::allocator<triangle> >::size() const
  0.00      1.67     0.00    40000     0.00     0.00  __gnu_cxx::new_allocator<triangle>::construct(triangle*, triangle const&)
  0.00      1.67     0.00    40000     0.00     0.00  std::vector<triangle, std::allocator<triangle> >::push_back(triangle const&)
  0.00      1.67     0.00    31274     0.00     0.00  std::__niter_base<int*, false>::__b(int*)
  0.00      1.67     0.00    20460     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      1.67     0.00    20460     0.00     0.00  std::__miter_base<int*, false>::__b(int*)
  0.00      1.67     0.00    20073     0.00     0.00  std::vector<p3Df, std::allocator<p3Df> >::size() const
  0.00      1.67     0.00    20002     0.00     0.00  __gnu_cxx::new_allocator<p3Df>::construct(p3Df*, p3Df const&)
