Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 66.99      1.40     1.40 10083169     0.00     0.00  signcoordBary(p3Df, p3Df, p3Df, p3Df, p3Df, int, signcoordB*)
 16.27      1.74     0.34  5916048     0.00     0.00  tetraSeg(p3Df, p3Df, p3Df, p3Df, p3Df)
  7.18      1.89     0.15   841760     0.00     0.00  clasifyTriang(tetracone*, int, mesh*, p3Df)
  5.02      2.00     0.10  1974951     0.00     0.00  tetraPoint(p3Df, p3Df, p3Df, p3Df, p3Df)
  1.91      2.04     0.04 20489125     0.00     0.00  std::vector<p3Df, std::allocator<p3Df> >::operator[](unsigned int)
  0.96      2.06     0.02  3407040     0.00     0.00  std::vector<triangle, std::allocator<triangle> >::operator[](unsigned int)
  0.72      2.07     0.01   841760     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned int)
  0.48      2.08     0.01        8     0.00     0.26  generateTetraTree(unsigned int, unsigned int, std::vector<int, std::allocator<int> >, node*, mesh*, p3Df)
  0.24      2.08     0.01     1162     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.24      2.09     0.01                             nearestIntersectingTriangleMoeller(node*, p3Df, p3Df, mesh*, int*)
  0.00      2.09     0.00  2192170     0.00     0.00  tetraPoint(p3Df, p3Df, p3Df, p3Df, p3Df, int)
  0.00      2.09     0.00   864140     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      2.09     0.00   284553     0.00     0.00  operator new(unsigned int, void*)
  0.00      2.09     0.00   224551     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.00      2.09     0.00   224551     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      2.09     0.00    80073     0.00     0.00  std::vector<triangle, std::allocator<triangle> >::size() const
  0.00      2.09     0.00    40000     0.00     0.00  __gnu_cxx::new_allocator<triangle>::construct(triangle*, triangle const&)
  0.00      2.09     0.00    40000     0.00     0.00  std::vector<triangle, std::allocator<triangle> >::push_back(triangle const&)
  0.00      2.09     0.00    31274     0.00     0.00  std::__niter_base<int*, false>::__b(int*)
  0.00      2.09     0.00    20460     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      2.09     0.00    20460     0.00     0.00  std::__miter_base<int*, false>::__b(int*)
  0.00      2.09     0.00    20073     0.00     0.00  std::vector<p3Df, std::allocator<p3Df> >::size() const
